it	posterior	prior	BD_lik	root_age	death_age	beta	lambda_0	mu_0	mu_1	shift_ex_1	tot_length
91000	-330.81795738364281	-15.011797609834657	-315.80615977380813	1073.0	64.0	1.0	0.0048877391825065519	0.002140650558982455	0.012568339628850556	596.47894032252111	7702.0
92000	-330.73171295229974	-15.014865212381139	-315.71684773991859	1073.0	64.0	1.0	0.0058572657245230921	0.0020997694926016357	0.011302067268762038	609.26841380743463	7702.0
93000	-332.68647597616587	-15.030051397248339	-317.65642457891755	1073.0	64.0	1.0	0.0047598216000064638	0.003310319520234467	0.0076774885740006913	615.64771311356458	7702.0
94000	-330.67628326535811	-15.022039667596292	-315.65424359776182	1073.0	64.0	1.0	0.0054088849705448971	0.0026350905868326269	0.0094791809938944323	616.92510461539166	7702.0
95000	-332.11822818731844	-15.090370208754377	-317.02785797856404	1073.0	64.0	1.0	0.0040592822452125135	0.0017514013922301549	0.0093820003750462056	617.28548735882862	7702.0
96000	-332.09283669777159	-14.967688315852126	-317.12514838191947	1073.0	64.0	1.0	0.0062303333806655453	0.0030935314233820144	0.012809494779827724	617.92678781470954	7702.0
97000	-330.77704384561105	-15.0109716933556	-315.76607215225545	1073.0	64.0	1.0	0.0049436266866740245	0.0028957636935447169	0.01110232496422325	621.03201133941502	7702.0
98000	-331.93788102187307	-15.041695030552559	-316.89618599132052	1073.0	64.0	1.0	0.0047021275662444051	0.0026158951088812209	0.010831670947584377	635.21506310534551	7702.0
99000	-331.46423510608008	-15.057172211214594	-316.40706289486548	1073.0	64.0	1.0	0.0058877904300935835	0.0021633997896000055	0.0085831313060569913	632.71206536169416	7702.0
100000	-331.49093912883649	-15.091610639960198	-316.39932848887628	1073.0	64.0	1.0	0.0057640902951397351	0.0015594536872604453	0.0095555280896002619	641.93132968411055	7702.0
101000	-331.73067553842975	-15.095981317425075	-316.63469422100468	1073.0	64.0	1.0	0.0043094089027624289	0.0020885973359199795	0.0089695783859255959	641.78796600653243	7702.0
102000	-331.43607450430318	-15.088967491688184	-316.34710701261497	1073.0	64.0	1.0	0.0045110761228011028	0.0019097633659234533	0.0096716061277547158	637.62207153848635	7702.0
103000	-332.37533453421162	-15.065104202944546	-317.31023033126706	1073.0	64.0	1.0	0.0056071607907243332	0.00260204059629871	0.0072255664607380485	637.97447221111042	7702.0
104000	-331.10388823266715	-15.071597411619999	-316.03229082104713	1073.0	64.0	1.0	0.0055413478119600542	0.0019286348974671369	0.0091906393681865477	636.1998683782823	7702.0
105000	-332.35571902527874	-15.034183459058944	-317.32153556621978	1073.0	64.0	1.0	0.00647087968754322	0.0019836140288046087	0.010792890408075522	630.57588405820434	7702.0
106000	-330.87238302102674	-15.011829307812576	-315.86055371321413	1073.0	64.0	1.0	0.0051038954996007078	0.0024943028839302197	0.012811168733500009	623.02827979289862	7702.0
107000	-330.97133597214571	-15.007564285529689	-315.96377168661604	1073.0	64.0	1.0	0.0060626188819328276	0.0026382105314478885	0.010515974321976986	623.16591083808692	7702.0
108000	-332.6775626820899	-15.111929769876756	-317.56563291221312	1073.0	64.0	1.0	0.0044927468941405721	0.0012449067771013855	0.010225960746849621	623.24741658154619	7702.0
109000	-330.89922402174443	-15.016718312902183	-315.88250570884225	1073.0	64.0	1.0	0.0048057822409081664	0.0026814508239774719	0.01225767056554725	625.60126105865777	7702.0
110000	-330.6041834211743	-15.016382000180323	-315.58780142099397	1073.0	64.0	1.0	0.0051596073289020637	0.0026287570877951828	0.011759004427039119	626.48363004703117	7702.0
111000	-330.89607106585868	-15.004834918437849	-315.89123614742084	1073.0	64.0	1.0	0.0051602437531752384	0.00280661527719936	0.012302499846804245	625.16378399167547	7702.0
112000	-331.07779224893051	-15.017106340129818	-316.06068590880068	1073.0	64.0	1.0	0.0061432059420683414	0.0024670215392877956	0.0097243691201359343	620.19929717342734	7702.0
113000	-334.44248802621968	-14.986555949878674	-319.45593207634101	1073.0	64.0	1.0	0.0073798098521163698	0.0031115585437931394	0.0083461089434896663	614.5941158033047	7702.0
114000	-331.52676489831487	-15.074093380768495	-316.45267151754638	1073.0	64.0	1.0	0.004111227429847571	0.0021663532345262814	0.0097318517004235609	627.1248482302376	7702.0
115000	-330.54095897542891	-15.02085835683874	-315.52010061859016	1073.0	64.0	1.0	0.005657681979199889	0.0022609536378775164	0.011258273922157969	620.77494364033942	7702.0
116000	-331.1520414255009	-15.057076917569461	-316.09496450793142	1073.0	64.0	1.0	0.0043246487254290419	0.0020468814236663333	0.011430117179258929	623.43016336602102	7702.0
117000	-332.20820415459985	-15.03495386828849	-317.17325028631137	1073.0	64.0	1.0	0.0056517020525352511	0.0016991632958723302	0.014241373337937744	627.46019950119069	7702.0
118000	-333.0920818086837	-15.152093281457871	-317.93998852722581	1073.0	64.0	1.0	0.0048136745998313205	0.0013747000666092175	0.0067242475399627889	641.12054176217907	7702.0
